Title,Director,Star Cast,Year,IMDb Rating,MetaScore,Certificates,Genre,Second_Genre,Third_Genre,Poster-src,Duration (minutes)
The Healer,Paco Arango,Oliver Jackson-Cohen,2016,6.4,57.1,Not Rated,Comedy,Drama,Family,"https://m.media-amazon.com/images/M/MV5BNDMwZTk1Y2UtNTM4YS00MmJhLThiNDAtMTJjYTdjYzg2YmNhXkEyXkFqcGdeQXVyNzkzODk2Mzc@._V1_QL75_UX190_CR0,2,190,281_.jpg",113.0
Lucy Shimmers and the Prince of Peace,Rob Diamond,Scarlett Diamond,2020,7.1,57.1,TV-G,Drama,Family,Family,"https://m.media-amazon.com/images/M/MV5BOThiZmVlMmMtNjhkYi00YTAwLTgwOGYtZmQyMDVhYjZiMDQ2XkEyXkFqcGdeQXVyMjY2NDc0OTQ@._V1_QL75_UY281_CR1,0,190,281_.jpg",87.0
The Beat Beneath My Feet,John Williams,Luke Perry,2014,6.4,57.1,TV-14,Comedy,Drama,Family,"https://m.media-amazon.com/images/M/MV5BMjQzMDg3NTg3N15BMl5BanBnXkFtZTgwNDY4NjAxMDI@._V1_QL75_UX190_CR0,0,190,281_.jpg",91.0
Ruby Red,Felix Fuchssteiner,Josefine Preuß,2013,6.0,57.1,PG,Action,Adventure,Drama,"https://m.media-amazon.com/images/M/MV5BMjE5NjM0MDQwN15BMl5BanBnXkFtZTcwMjY3NzQxOQ@@._V1_QL75_UY281_CR5,0,190,281_.jpg",100.0
Beethoven's 2nd,Rod Daniel,Charles Grodin,1993,5.0,57.1,PG,Comedy,Family,Romance,"https://m.media-amazon.com/images/M/MV5BYjhlOTk1ODQtOTc3Yi00YzRjLWI1MGItODRlOTJmMjFhMGZkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,0,190,281_.jpg",89.0
The Odd Life of Timothy Green,Peter Hedges,Jennifer Garner,2012,6.6,47.0,PG,Comedy,Drama,Family,"https://m.media-amazon.com/images/M/MV5BOTNkYjM1YTAtYTFiOC00ZDY2LWI5ZDYtODEwZDM4ZDljNDgwXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UX190_CR0,0,190,281_.jpg",105.0
Rocky Aur Rani Kii Prem Kahaani,Karan Johar,Ranveer Singh,2023,6.5,57.1,Not Rated,Comedy,Drama,Family,"https://m.media-amazon.com/images/M/MV5BNzAyOWQ4MjUtMGNkMi00ODBkLWEyZDgtY2Q0YjJhYjg3MzNlXkEyXkFqcGdeQXVyMTUxMTM3OTc1._V1_QL75_UY281_CR18,0,190,281_.jpg",168.0
A Whisker Away,Jun'ichi Satô,Mirai Shida,2020,6.7,57.1,TV-PG,Animation,Adventure,Drama,"https://m.media-amazon.com/images/M/MV5BNDI5ODBhYzMtNDc4Yi00NjEwLWJiZWUtMGE2Mzc4MGVjN2E0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UY281_CR5,0,190,281_.jpg",104.0
The Nut Job,Peter Lepeniotis,Will Arnett,2014,5.7,37.0,PG,Animation,Adventure,Comedy,"https://m.media-amazon.com/images/M/MV5BMTQ1NjAxMDUzN15BMl5BanBnXkFtZTgwOTE5NDM3MDE@._V1_QL75_UY281_CR0,0,190,281_.jpg",85.0
Simon Birch,Mark Steven Johnson,Ian Michael Smith,1998,6.8,39.0,PG,Comedy,Drama,Family,"https://m.media-amazon.com/images/M/MV5BN2ZlNDkzY2ItNTkxMi00NzY3LTgyZDItZTI5MjczMzVmNGViXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_QL75_UX190_CR0,0,190,281_.jpg",114.0
Paulie,John Roberts,Gena Rowlands,1998,6.5,57.1,PG,Adventure,Comedy,Drama,"https://m.media-amazon.com/images/M/MV5BY2MwZjM2NTYtNmU5Zi00NWM3LTg1ZWUtMjJkZTkxMTcwNWY4XkEyXkFqcGdeQXVyNjg4NzYzMzA@._V1_QL75_UX190_CR0,0,190,281_.jpg",91.0
BMX Bandits,Brian Trenchard-Smith,David Argue,1983,5.5,53.0,PG,Action,Crime,Drama,"https://m.media-amazon.com/images/M/MV5BNjlkNDNlZGUtM2RjYi00NzNlLWFiZTYtYzNiMzlhZWE2MmM1XkEyXkFqcGdeQXVyMDM3ODU0Nw@@._V1_QL75_UX190_CR0,1,190,281_.jpg",88.0
Strange Magic,Gary Rydstrom,Evan Rachel Wood,2015,5.7,25.0,PG,Animation,Adventure,Comedy,"https://m.media-amazon.com/images/M/MV5BMjA0NjU3MTU5OF5BMl5BanBnXkFtZTgwMTYyMDQ3MzE@._V1_QL75_UX190_CR0,0,190,281_.jpg",99.0
The Bad News Bears in Breaking Training,Michael Pressman,William Devane,1977,5.6,47.0,PG,Comedy,Family,Sport,"https://m.media-amazon.com/images/M/MV5BNjI0ZTRmNTEtYjVhMC00MTM0LWFjNDQtYjBhNTNlNWRlMDgxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,2,190,281_.jpg",100.0
Shrek the Musical,Michael John Warren,Brian d'Arcy James,2013,6.9,57.1,TV-G,Comedy,Family,Fantasy,"https://m.media-amazon.com/images/M/MV5BN2U4YzBhNmYtNzAxZS00ZjcyLTg5NDEtMDM4ODVkMTZlZmNkXkEyXkFqcGdeQXVyNzMwOTY2NTI@._V1_QL75_UY281_CR8,0,190,281_.jpg",130.0
Raise Your Voice,Sean McNamara,Hilary Duff,2004,5.8,33.0,PG,Family,Music,Musical,"https://m.media-amazon.com/images/M/MV5BZTIyYWMyNjQtNjQxYS00ZmZiLTg1OWItNmVlZTJiY2NkNzUyXkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_QL75_UX190_CR0,2,190,281_.jpg",103.0
Free Birds,Jimmy Hayward,Woody Harrelson,2013,5.8,38.0,PG,Animation,Action,Adventure,"https://m.media-amazon.com/images/M/MV5BNjE0NjIwMzAwOF5BMl5BanBnXkFtZTgwOTIyMzMzMDE@._V1_QL75_UY281_CR0,0,190,281_.jpg",91.0
Over the Moon,Glen Keane,Glen Keane,2020,6.3,60.0,PG,Animation,Adventure,Comedy,"https://m.media-amazon.com/images/M/MV5BNDAxMzBlZTUtNTgwNS00NjZhLWJjZmItMDBjZjhhZTM4OWQ2XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UX190_CR0,0,190,281_.jpg",95.0
Stuart Little 2,Rob Minkoff,Michael J. Fox,2002,5.5,66.0,PG,Adventure,Comedy,Family,"https://m.media-amazon.com/images/M/MV5BMTYyNDg0Njc2Nl5BMl5BanBnXkFtZTYwMDc3NzQ3._V1_QL75_UX190_CR0,1,190,281_.jpg",77.0
Abbott and Costello Meet Frankenstein,Charles Barton,Bud Abbott,1948,7.3,69.0,Approved,Comedy,Family,Fantasy,"https://m.media-amazon.com/images/M/MV5BNTZiZTQ4YjItY2Y4ZC00MTVhLThmYTEtYWM5NmRlNDI5Y2JmXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_QL75_UX190_CR0,4,190,281_.jpg",83.0
North,Rob Reiner,Elijah Wood,1994,4.5,57.1,PG,Adventure,Comedy,Drama,"https://m.media-amazon.com/images/M/MV5BNzBmYjZmNmEtZDQzMy00MGM2LWIxMDctYWRiOTJiN2ExZDVmXkEyXkFqcGdeQXVyMTUyOTc1NDYz._V1_QL75_UX190_CR0,0,190,281_.jpg",87.0
Fun Size,Josh Schwartz,Victoria Justice,2012,5.4,37.0,PG-13,Adventure,Comedy,Crime,"https://m.media-amazon.com/images/M/MV5BMjI1NDgyMjI4OV5BMl5BanBnXkFtZTcwNTg3MzM0OA@@._V1_QL75_UX190_CR0,0,190,281_.jpg",86.0
The Boxtrolls,Graham Annable,Ben Kingsley,2014,6.8,61.0,PG,Animation,Adventure,Comedy,"https://m.media-amazon.com/images/M/MV5BMTQxODA5MDkyNV5BMl5BanBnXkFtZTgwMDMyNjkzMjE@._V1_QL75_UX190_CR0,0,190,281_.jpg",96.0
Harriet the Spy,Bronwen Hughes,Michelle Trachtenberg,1996,6.0,57.1,PG,Comedy,Drama,Family,"https://m.media-amazon.com/images/M/MV5BY2UwOTQ0Y2QtZmM4NC00ZTRiLWIyZDUtMmIzYzg4MjQyNTUyXkEyXkFqcGdeQXVyNDAxNjkxNjQ@._V1_QL75_UX190_CR0,0,190,281_.jpg",100.0
Pom Poko,Isao Takahata,Shinchô Kokontei,1994,7.3,77.0,PG,Animation,Comedy,Drama,"https://m.media-amazon.com/images/M/MV5BYjBkODU2MjEtMjRhZi00M2M2LTg4ZjgtMGM0NjFiZTdjMzZhXkEyXkFqcGdeQXVyMjc2Nzg5OTQ@._V1_QL75_UY281_CR4,0,190,281_.jpg",119.0
Underdog,Frederik Du Chau,Peter Dinklage,2007,4.8,37.0,PG,Action,Adventure,Comedy,"https://m.media-amazon.com/images/M/MV5BNWE2YzQ3ODktZGQwMC00YWUxLWEyNDgtZGZkY2RmNDdkZmQ3XkEyXkFqcGdeQXVyMTUxMjU0NDUz._V1_QL75_UX190_CR0,0,190,281_.jpg",84.0
Woody Woodpecker,Alex Zamm,Eric Bauza,2017,4.2,57.1,PG,Animation,Adventure,Comedy,"https://m.media-amazon.com/images/M/MV5BNjJjMmRkNjYtNmJhNi00ZDM1LWEzMjMtOWZjNjgxODc1YmFlXkEyXkFqcGdeQXVyOTQyNTIzNjM@._V1_QL75_UX190_CR0,2,190,281_.jpg",91.0
Charlotte's Web,Charles Nichols,Debbie Reynolds,1973,6.9,73.0,G,Animation,Adventure,Drama,"https://m.media-amazon.com/images/M/MV5BYWVmZjNkOWQtZmI1MC00NDA4LWJjN2ItZTFmMGI0NGFkNmNhXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_QL75_UX190_CR0,1,190,281_.jpg",94.0
Secret Society of Second Born Royals,Anna Mastro,Peyton Elizabeth Lee,2020,5.0,34.0,TV-PG,Action,Adventure,Comedy,"https://m.media-amazon.com/images/M/MV5BYTBlNmM1N2EtMDljYS00NzEzLWE4ZWQtZDk0YWI1MDM0MmRjXkEyXkFqcGdeQXVyNjUxMDQ0MTg@._V1_QL75_UY281_CR18,0,190,281_.jpg",99.0
The Wild,Steve 'Spaz' Williams,Kiefer Sutherland,2006,5.2,47.0,G,Animation,Adventure,Comedy,"https://m.media-amazon.com/images/M/MV5BMTQ5ODgzNjQ3OF5BMl5BanBnXkFtZTcwNTYyMTQzMQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",82.0
The Swan Princess,Richard Rich,Jack Palance,1994,6.4,70.0,G,Animation,Adventure,Comedy,"https://m.media-amazon.com/images/M/MV5BNDM2OGM1MjAtYjA3Zi00NzEzLWFiOWMtYjg4MDdiMzYzMWVkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDA5Mjg5MjA@._V1_QL75_UY281_CR4,0,190,281_.jpg",90.0
An American Tail: Fievel Goes West,Phil Nibbelink,James Stewart,1991,6.5,57.1,G,Animation,Adventure,Family,"https://m.media-amazon.com/images/M/MV5BZmUyOTE4YmItN2E0Zi00M2ViLWIxMTctMmZhMDRhMDZhOWZlXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_QL75_UX190_CR0,0,190,281_.jpg",75.0
Wild Hearts Can't Be Broken,Steve Miner,Gabrielle Anwar,1991,7.2,57.1,G,Drama,Family,Romance,"https://m.media-amazon.com/images/M/MV5BOWNlZmI3ZGMtMDRmNS00NDhjLWE2MWUtMzAxNzE2NjFjOWU3XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_QL75_UX190_CR0,0,190,281_.jpg",88.0
White Fang,Randal Kleiser,Ethan Hawke,1991,6.7,62.0,PG,Adventure,Drama,Family,"https://m.media-amazon.com/images/M/MV5BY2VjZTkxYzYtMTQwZC00YWU1LWFlNWUtMDlhYWExMmFiY2RmXkEyXkFqcGdeQXVyNzA5MzkyOTM@._V1_QL75_UY281_CR1,0,190,281_.jpg",107.0
Captains Courageous,Victor Fleming,Spencer Tracy,1937,7.9,81.0,Approved,Adventure,Drama,Family,"https://m.media-amazon.com/images/M/MV5BODI5NjhiNjktYzhkNi00ODFkLTg0NTgtZDQ2M2E5ZTY2ZGM0XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_QL75_UX190_CR0,4,190,281_.jpg",117.0
The Muppets Take Manhattan,Frank Oz,Jim Henson,1984,6.8,64.0,G,Adventure,Comedy,Drama,"https://m.media-amazon.com/images/M/MV5BNmFiYTU2YjEtNjcxNy00MzViLTljMGEtNWI4OTU0ZTRhZTM1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDIwODAwNzg@._V1_QL75_UY281_CR1,0,190,281_.jpg",94.0
Thomas and the Magic Railroad,Britt Allcroft,Alec Baldwin,2000,4.2,19.0,G,Adventure,Comedy,Drama,"https://m.media-amazon.com/images/M/MV5BZTNkY2Y2NDQtMmEwMi00ODI3LTg1MzAtNmIzOGFkYWY0ZTFmXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_QL75_UY281_CR5,0,190,281_.jpg",85.0
Planet 51,Jorge Blanco,Dwayne Johnson,2009,6.0,39.0,PG,Animation,Adventure,Comedy,"https://m.media-amazon.com/images/M/MV5BMTUyOTAyNTA5Ml5BMl5BanBnXkFtZTcwODU2OTM0Mg@@._V1_QL75_UX190_CR0,0,190,281_.jpg",91.0
Hop,Tim Hill,Russell Brand,2011,5.4,41.0,PG,Animation,Adventure,Comedy,"https://m.media-amazon.com/images/M/MV5BMTY4MDcxNTkzNV5BMl5BanBnXkFtZTcwMTg2MDY2NA@@._V1_QL75_UX190_CR0,0,190,281_.jpg",95.0
The Yearling,Clarence Brown,Gregory Peck,1946,7.2,89.0,Approved,Drama,Family,Western,"https://m.media-amazon.com/images/M/MV5BMjI0NjVhMDMtZTZmMy00MWYwLTkyMjQtMDEyMmVkYmJmOTQ5XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_QL75_UX190_CR0,2,190,281_.jpg",128.0
For Prophet,Mark Stewart Iverson,Ben Marten,2024,7.8,57.1,PG,Comedy,Drama,Family,"https://m.media-amazon.com/images/M/MV5BNDUxOTRmY2EtYTk4OS00YTI4LWE4OTEtM2FhY2Y2YzczYWZmXkEyXkFqcGdeQXVyMTk0MzA1MTY@._V1_QL75_UX190_CR0,0,190,281_.jpg",100.0
The Legend of Catclaws Mountain,Ritchie Greer,Hayden Hishaw,2024,5.1,57.1,PG,Family,Adventure,Family,"https://m.media-amazon.com/images/M/MV5BZTMyZjZlNjgtNjQ0ZC00YmQ4LTg3YjktMjM5MjViNjZkZDE5XkEyXkFqcGdeQXVyOTg4MDYyNw@@._V1_QL75_UY281_CR8,0,190,281_.jpg",104.0
Pokémon: The First Movie - Mewtwo Strikes Back,Kunihiko Yuyama,Veronica Taylor,1998,6.3,35.0,G,Animation,Action,Adventure,"https://m.media-amazon.com/images/M/MV5BZGM3MjQ3NTQtNzRiZi00MDUzLWFjYjEtZWJjMjUwYzExYjRiXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UY281_CR0,0,190,281_.jpg",96.0
Meet Dave,Brian Robbins,Eddie Murphy,2008,5.1,43.0,PG,Adventure,Comedy,Family,"https://m.media-amazon.com/images/M/MV5BYzc4YWIwYWEtMjVlYi00Y2JkLWE0NDMtODYyZDkyZTAyYzU5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,2,190,281_.jpg",90.0
Mavka: The Forest Song,Oleh Malamuzh,Sarah Natochenny,2023,6.6,57.1,PG,Animation,Adventure,Comedy,"https://m.media-amazon.com/images/M/MV5BMTdlOGJjMDItOGUyOS00OWFiLTg2NmMtMmVlOGRkZGNmNDA2XkEyXkFqcGdeQXVyMzA0OTQzODE@._V1_QL75_UY281_CR4,0,190,281_.jpg",100.0
Hi Nanna,Shouryuv,Nani,2023,8.2,57.1,PG,Drama,Family,Romance,"https://m.media-amazon.com/images/M/MV5BMjZkNTdhOTMtYzg0Yy00YjA4LTljOTQtZWRkNTZkMTY3Y2Y3XkEyXkFqcGdeQXVyMTUzNTgzNzM0._V1_QL75_UX190_CR0,2,190,281_.jpg",100.0
The One and Only Ivan,Thea Sharrock,Sam Rockwell,2020,6.6,58.0,PG,Adventure,Comedy,Drama,"https://m.media-amazon.com/images/M/MV5BZWY3OTNhNWUtMDk2My00ZGVhLWE5ODQtM2NkOTZiMWM2MGY2XkEyXkFqcGdeQXVyNjMwMzc3MjE@._V1_QL75_UX190_CR0,0,190,281_.jpg",95.0
Dog Gone,Stephen Herek,Rob Lowe,2023,6.1,42.0,TV-PG,Biography,Drama,Family,"https://m.media-amazon.com/images/M/MV5BNjRjODE0ZTMtNGNiYi00YTZhLThmNmItODhiYzhjZjYwMDMyXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX190_CR0,0,190,281_.jpg",95.0
Madeline,Daisy von Scherler Mayer,Frances McDormand,1998,6.0,57.1,PG,Comedy,Family,Family,"https://m.media-amazon.com/images/M/MV5BZDNjNTM2YzQtNmRlNS00OGMzLWE1MTYtMGY0YjI3MTI5MmJjXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_QL75_UX190_CR0,0,190,281_.jpg",88.0
The Girl Who Believes in Miracles,Richard Correll,Mira Sorvino,2021,5.9,57.1,PG,Drama,Family,Family,"https://m.media-amazon.com/images/M/MV5BMzAzMTAxZGUtMGY0OS00MTk1LTlkMTMtMzNhYmRlZDVhNTA3XkEyXkFqcGdeQXVyMTQ3ODkwMjc@._V1_QL75_UX190_CR0,0,190,281_.jpg",100.0
Sinbad and the Eye of the Tiger,Sam Wanamaker,Patrick Wayne,1977,6.4,57.1,G,Action,Adventure,Family,"https://m.media-amazon.com/images/M/MV5BOTI2MzU4NjM4NV5BMl5BanBnXkFtZTgwNTkwNzYzNTE@._V1_QL75_UX190_CR0,3,190,281_.jpg",113.0
Stormbreaker,Geoffrey Sax,Alex Pettyfer,2006,5.1,42.0,PG,Action,Adventure,Family,"https://m.media-amazon.com/images/M/MV5BMjAwODY1NzAzNF5BMl5BanBnXkFtZTYwODUxNDc3._V1_QL75_UY281_CR1,0,190,281_.jpg",93.0
Nanny McPhee Returns,Susanna White,Emma Thompson,2010,6.1,52.0,PG,Comedy,Family,Fantasy,"https://m.media-amazon.com/images/M/MV5BMTI5NDUxNDU4OF5BMl5BanBnXkFtZTcwNDk1NjM1Mw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",109.0
Fly Away Home,Carroll Ballard,Jeff Daniels,1996,6.9,77.0,PG,Adventure,Drama,Family,"https://m.media-amazon.com/images/M/MV5BYjQyMzFhYTItODYxYy00MDNmLTgyOGEtNGRmZTg5YzhlNjEyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,1,190,281_.jpg",107.0
"Miraculous: Ladybug & Cat Noir, the Movie",Jeremy Zag,Annouck Hautbois,2023,6.1,57.1,PG,Animation,Action,Adventure,"https://m.media-amazon.com/images/M/MV5BZDBmNmZmNDMtYTI3NC00OWExLWE2NDYtMDA5ZDRhNDhjMjdkXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_QL75_UX190_CR0,0,190,281_.jpg",105.0
The Kid,Jon Turteltaub,Bruce Willis,2000,6.1,45.0,PG,Comedy,Family,Fantasy,"https://m.media-amazon.com/images/M/MV5BYTYwM2JmNzgtNzVjMi00NzQ4LTk2MDQtOTE4N2U0ODU0YjYwXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",104.0
My Little Pony: A New Generation,Robert Cullen,Vanessa Hudgens,2021,6.8,57.1,PG,Animation,Adventure,Comedy,"https://m.media-amazon.com/images/M/MV5BOTY4ZmZjY2YtODg4ZS00YjlkLWJhOWMtMDU4Y2YyYjMwMDEzXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_QL75_UX190_CR0,0,190,281_.jpg",90.0
Tad the Lost Explorer and the Emerald Tablet,Enrique Gato,Óscar Barberán,2022,6.0,57.1,PG,Animation,Adventure,Comedy,"https://m.media-amazon.com/images/M/MV5BNmEzOTJlOTMtYTJhMC00YTFhLWI0MDYtOWM1NGRhNjkxZDNhXkEyXkFqcGdeQXVyOTE1MjI5OTc@._V1_QL75_UY281_CR4,0,190,281_.jpg",90.0
Mr. Magorium's Wonder Emporium,Zach Helm,Natalie Portman,2007,6.2,48.0,G,Comedy,Family,Fantasy,"https://m.media-amazon.com/images/M/MV5BZDdjNDcyMTktMzE1NS00NTMxLWEyMzUtZDEyMjY5ZTQ0NDZiXkEyXkFqcGdeQXVyNjM1NzYzMDk@._V1_QL75_UY281_CR0,0,190,281_.jpg",93.0
Kes,Ken Loach,David Bradley,1969,7.9,57.1,PG-13,Drama,Family,Family,"https://m.media-amazon.com/images/M/MV5BNGMxNzM3ODktOWQwOC00NWU5LTgwYjctOWM2OTFmNGUxN2Y0XkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_QL75_UX190_CR0,4,190,281_.jpg",111.0
Apollo 10½: A Space Age Childhood,Richard Linklater,Milo Coy,2022,7.2,79.0,PG-13,Animation,Adventure,Drama,"https://m.media-amazon.com/images/M/MV5BMGZiYjgxNzMtMWJhNS00NGE4LTk4MDAtM2MwNzA3MTc5YTU2XkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_QL75_UX190_CR0,0,190,281_.jpg",97.0
The Black Stallion,Carroll Ballard,Kelly Reno,1979,7.4,84.0,G,Adventure,Family,Sport,"https://m.media-amazon.com/images/M/MV5BMzgzOTgwOTEzM15BMl5BanBnXkFtZTcwMzI2MTcyNA@@._V1_QL75_UX190_CR0,2,190,281_.jpg",118.0
Journey to Bethlehem,Adam Anders,Fiona Palomo,2023,6.4,57.1,PG,Adventure,Family,Musical,"https://m.media-amazon.com/images/M/MV5BZTI0NzZhOTItYzQ0Zi00MTIwLWFmZDMtNWVkZTFjNDBhZmQ2XkEyXkFqcGdeQXVyMTkxNTgwMDg@._V1_QL75_UX190_CR0,0,190,281_.jpg",99.0
Snow Dogs,Brian Levant,Cuba Gooding Jr.,2002,5.2,29.0,PG,Adventure,Comedy,Family,"https://m.media-amazon.com/images/M/MV5BZDhkYmUwZDAtNzBhZi00ODM4LWI3NWMtODcwM2U5OGZhNWM0XkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_QL75_UX190_CR0,0,190,281_.jpg",99.0
Mummies,Juan Jesús García Galocha,Óscar Barberán,2023,5.9,57.1,PG,Animation,Adventure,Comedy,"https://m.media-amazon.com/images/M/MV5BZWU0ZjJiOGItZDUwNy00MDE1LTk2ZjEtY2YwMzQxZGJjYjFjXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_QL75_UY281_CR1,0,190,281_.jpg",88.0
Condorman,Charles Jarrott,Michael Crawford,1981,5.7,46.0,PG,Action,Adventure,Comedy,"https://m.media-amazon.com/images/M/MV5BNTY5ZDg5ZGEtM2FmZS00MjMyLWJhMDAtNjBmMmZlOWU2ZWU0XkEyXkFqcGdeQXVyMTEwODg2MDY@._V1_QL75_UX190_CR0,5,190,281_.jpg",90.0
The Love Bug,Robert Stevenson,Dean Jones,1969,6.5,48.0,G,Comedy,Family,Sport,"https://m.media-amazon.com/images/M/MV5BNDc3NTAwYmEtODg2YS00Y2IyLWFlOGYtMjUyMDQ5NzU2MDYzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,5,190,281_.jpg",108.0
The Curse of Bridge Hollow,Jeff Wadlow,Marlon Wayans,2022,5.6,38.0,TV-14,Adventure,Comedy,Family,"https://m.media-amazon.com/images/M/MV5BMjUzMzMxODYtNjc1OS00NDNiLWIzMzMtNTBhMjE5NDllNzY0XkEyXkFqcGdeQXVyMzE5ODc1OA@@._V1_QL75_UX190_CR0,0,190,281_.jpg",89.0
Troop Zero,Bertie Ellwood,Mckenna Grace,2019,6.9,58.0,PG,Comedy,Drama,Family,"https://m.media-amazon.com/images/M/MV5BNDE0NjA0NGYtOGE2Yi00MTY4LTg4OTMtMzAyZmFiNjRhODcxXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_QL75_UX190_CR0,0,190,281_.jpg",94.0
Artemis Fowl,Kenneth Branagh,Ferdia Shaw,2020,4.3,31.0,PG,Adventure,Family,Fantasy,"https://m.media-amazon.com/images/M/MV5BYWFmYjBiYzItYjBlOS00NThkLTljMWEtYzQ4NTdlNDlmMjg0XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UX190_CR0,0,190,281_.jpg",95.0
Autumn and the Black Jaguar,Gilles de Maistre,Emily Bett Rickards,2024,5.6,57.1,PG,Adventure,Comedy,Family,"https://m.media-amazon.com/images/M/MV5BMDQyYWJhMGMtMzgwMy00OTk1LWI2NDgtMjk0M2RlNTEzNWY1XkEyXkFqcGdeQXVyMDA5MDg4Nw@@._V1_QL75_UY281_CR8,0,190,281_.jpg",100.0
Our Town,Sam Wood,William Holden,1940,6.5,57.1,Approved,Drama,Family,Romance,"https://m.media-amazon.com/images/M/MV5BMTgxMWIwN2QtY2FkMi00YmM1LTg4NGEtMTQ4YTQwOTA2NWNkXkEyXkFqcGdeQXVyMTYzMTY1MjQ@._V1_QL75_UY281_CR4,0,190,281_.jpg",90.0
A Christmas Carol,Robert Zemeckis,Jim Carrey,2009,6.8,55.0,PG,Animation,Adventure,Comedy,"https://m.media-amazon.com/images/M/MV5BMTM1MTI5ODU4MV5BMl5BanBnXkFtZTcwNTYyNTU4Mg@@._V1_QL75_UY281_CR0,0,190,281_.jpg",96.0
The Peanuts Movie,Steve Martino,Noah Schnapp,2015,7.0,67.0,G,Animation,Adventure,Comedy,"https://m.media-amazon.com/images/M/MV5BNTE5NzMxNzkwNl5BMl5BanBnXkFtZTgwOTQ0Nzk5NzE@._V1_QL75_UX190_CR0,0,190,281_.jpg",88.0
Mary and the Witch's Flower,Hiromasa Yonebayashi,Hana Sugisaki,2017,6.8,74.0,PG,Animation,Adventure,Family,"https://m.media-amazon.com/images/M/MV5BNDVkYmFiNmQtMjc3Ni00YTY5LTk0NTAtZDc4YjZiZjU2YjNlXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_QL75_UY281_CR1,0,190,281_.jpg",103.0
The Great Muppet Caper,Jim Henson,Jim Henson,1981,7.1,70.0,G,Adventure,Comedy,Crime,"https://m.media-amazon.com/images/M/MV5BYzViOWEwOTgtOTIyMS00ZDNkLWIzZDAtMWFjYzUwM2I0YjNkXkEyXkFqcGdeQXVyMzI0NDc4ODY@._V1_QL75_UX190_CR0,0,190,281_.jpg",97.0
Zoey 102,Nancy Hower,Jamie Lynn Spears,2023,4.9,57.1,TV-14,Comedy,Drama,Family,"https://m.media-amazon.com/images/M/MV5BY2M5NjE5OWUtODI2OC00YjU3LTljYjctNThkMzNjYjRmZDNmXkEyXkFqcGdeQXVyNjMxNTUzNDQ@._V1_QL75_UY281_CR18,0,190,281_.jpg",101.0
Luv Ki Arrange Marriage,Ishrat R. Khan,Ravi Chauhan,2024,4.7,57.1,PG,Comedy,Family,Family,"https://m.media-amazon.com/images/M/MV5BMGYyOTNiYjEtMGE1OC00Y2IzLWFhNDctNjIzMzI2MmU4N2U2XkEyXkFqcGc@._V1_QL75_UY281_CR18,0,190,281_.jpg",100.0
Escape to Witch Mountain,John Hough,Eddie Albert,1975,6.3,60.0,G,Adventure,Family,Fantasy,"https://m.media-amazon.com/images/M/MV5BMzZjODA5NjctMGZlNC00YjNlLTg2NDQtNDE1YTc3YTMxYzBmXkEyXkFqcGdeQXVyMTEwODg2MDY@._V1_QL75_UX190_CR0,0,190,281_.jpg",97.0
